id,focus,signal,slack,drag,confidence,score,lane
l001,search depth,35,33,6,25,178,ship
l002,boundary pressure,35,34,6,55,210,ship
l003,complexity,35,35,6,85,242,ship
l004,input width,35,36,18,25,148,watch
l005,search depth,35,37,18,55,180,ship
l006,boundary pressure,35,38,18,85,212,ship
l007,complexity,35,39,34,25,106,hold
l008,input width,35,40,34,55,138,watch
l009,search depth,35,41,34,85,170,ship
l010,boundary pressure,60,42,6,25,271,ship
l011,complexity,60,43,6,55,303,ship
l012,input width,60,44,6,85,335,ship
l013,search depth,60,45,18,25,241,ship
l014,boundary pressure,60,46,18,55,273,ship
l015,complexity,60,47,18,85,305,ship
l016,input width,60,48,34,25,199,ship
l017,search depth,60,32,34,55,197,ship
l018,boundary pressure,60,33,34,85,229,ship
l019,complexity,85,34,6,25,330,ship
l020,input width,85,35,6,55,362,ship
l021,search depth,85,36,6,85,394,ship
l022,boundary pressure,85,37,18,25,300,ship
l023,complexity,85,38,18,55,332,ship
l024,input width,85,39,18,85,364,ship
l025,search depth,85,40,34,25,258,ship
l026,boundary pressure,85,41,34,55,290,ship
l027,complexity,85,42,34,85,322,ship
